province_id,longitude,latitude,is_hole
1,103.414,41.882,False
1,104.525,41.875,False
1,104.518,41.661,False
1,105.007,41.582,False
1,107.459,42.458,False
1,109.479,42.456,False
1,110.433,42.78,False
1,111.062,43.355,False
1,111.947,43.691,False
1,111.411,44.356,False
1,111.735,44.941,False
1,111.971,45.084,False
1,113.628,44.743,False
1,114.109,44.953,False
1,114.541,45.385,False
1,115.356,45.389,False
1,116.174,45.69,False
1,116.578,46.289,False
1,117.37,46.361,False
1,117.415,46.58,False
1,117.714,46.512,False
1,118.896,46.775,False
1,119.298,46.61,False
1,119.904,46.666,False
1,119.709,47.194,False
1,118.559,47.993,False
1,117.804,48.014,False
1,117.375,47.64,False
1,116.796,47.899,False
1,116.258,47.88,False
1,115.935,47.681,False
1,115.574,47.92,False
1,115.522,48.153,False
1,115.813,48.257,False
1,115.788,48.524,False
1,116.714,49.846,False
1,117.867,49.509,False
1,118.566,49.93,False
1,119.286,50.109,False
1,119.378,50.321,False
1,119.118,50.389,False
1,120.08,51.677,False
1,120.652,51.926,False
1,120.779,52.157,False
1,120.613,52.353,False
1,120.722,52.544,False
1,120.061,52.587,False
1,120.025,52.774,False
1,120.877,53.293,False
1,121.519,53.32,False
2,86.851,49.108,False
2,87.815,49.171,False
2,87.901,48.983,False
2,87.74,48.87,False
2,88.091,48.713,False
2,87.971,48.573,False
2,88.516,48.4,False
2,88.587,48.217,False
2,89.063,47.988,False
2,89.574,48.033,False
2,89.761,47.827,False
2,90.058,47.885,False
2,90.367,47.66,False
2,90.559,47.205,False
2,91.047,46.723,False
2,90.892,46.312,False
2,91.022,46.023,False
2,90.668,45.544,False
2,90.879,45.189,False
2,93.504,44.968,False
2,94.724,44.339,False
2,95.41,44.294,False
2,95.323,44.026,False
2,95.523,44.005,False
2,95.88,43.274,False
2,96.363,42.899,False
2,96.388,42.725,False
2,95.978,42.435,False
2,96.178,42.216,False
2,96.038,41.924,False
2,95.297,41.564,False
2,95.135,41.771,False
2,94.533,41.505,False
2,94.009,41.114,False
2,93.759,40.664,False
2,92.927,40.572,False
2,92.639,39.514,False
2,92.338,39.236,False
2,92.415,39.01,False
2,90.11,38.477,False
2,90.279,38.238,False
2,90.529,38.32,False
2,90.519,37.728,False
2,91.073,37.475,False
2,91.279,37.164,False
2,91.309,37.015,False
2,90.721,36.798,False
2,90.739,36.586,False
2,91.034,36.53,False
2,91.117,36.101,False
2,90.845,36.017,False
2,90.003,36.28,False
2,89.945,36.07,False
2,89.761,36.073,False
2,88.374,36.484,False
2,86.438,36.227,False
2,85.947,35.78,False
2,85.568,35.64,False
2,85.005,35.743,False
2,84.172,35.359,False
2,83.116,35.4,False
2,82.965,35.672,False
2,82.461,35.716,False
2,82.011,35.311,False
2,81.676,35.236,False
2,80.431,35.45,False
2,80.266,35.297,False
2,80.358,35.202,False
2,80.029,35.04,False
2,79.82,34.494,False
2,79.035,34.334,False
2,78.272,34.63,False
2,78.004,35.229,False
2,78.136,35.491,False
